,전체,강,강,강,강,강,강,보,보,보,보,약,약,약,약,약,약
세부 시나리오,전체,전체,강강,강보,강약,보강,약강,전체,강약,보보,약강,전체,강약,보약,약강,약보,약약
N,428,288,233,6,8,13,28,4,1,1,2,136,6,3,23,5,99
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.4636032496096407,1.7377416984636076,1.851146332593465,1.1131400523997785,1.0129647156621704,1.4441723752729607,1.2712755266070341,1.202903099765808,0.9445311545717351,0.9968988273848118,1.435091208553342,0.8907424211495919,0.8731904862624416,0.9225167302101506,1.1641318310771722,1.1744993942071253,0.8129974452760486
H_DCA1,1.1381546009386143,1.284935653311621,1.337042500276541,1.0606324850179034,1.0731889835990933,1.1029323479577469,1.0443977959629256,0.9991006873726058,1.0375268790780205,1.000324577835579,0.979275646288412,0.8314139580771283,0.9176253394113109,0.9395112936802031,0.8982211320360686,0.8887047707736885,0.8044990150533635
H_DCA1*,1.021700210405068,1.0991248757632723,1.1297722107632648,1.01901784008136,1.1957943836070681,0.9686655146168369,0.8942116183077894,0.8918185461003814,1.137073831788385,1.0035796126801269,0.7133103699665068,0.8615621444790083,1.0033348288897486,0.9639162679506822,0.7278894278770146,0.7291960314730697,0.8876086552870499
DCA1 > LS,0.31542056074766356,0.013888888888888888,0.004291845493562232,0.0,0.0,0.0,0.10714285714285714,0.25,0.0,0.0,0.5,0.9558823529411765,1.0,1.0,0.782608695652174,1.0,0.98989898989899
DCA1 > BH,0.4602803738317757,0.3194444444444444,0.23605150214592274,0.5,0.125,0.6923076923076923,0.8571428571428571,0.5,0.0,0.0,1.0,0.7573529411764706,0.5,0.3333333333333333,1.0,0.8,0.7272727272727273
DCA1* > LS,0.514018691588785,0.375,0.30042918454935624,0.5,0.125,0.6923076923076923,0.8928571428571429,0.5,0.0,0.0,1.0,0.8088235294117647,0.5,0.6666666666666666,1.0,0.8,0.7878787878787878
DCA1* > BH,0.6542056074766355,0.6354166666666666,0.5965665236051502,0.8333333333333334,0.375,0.7692307692307693,0.9285714285714286,0.5,0.0,0.0,1.0,0.6985294117647058,0.3333333333333333,0.6666666666666666,1.0,0.8,0.6464646464646465
H_DCA1 < P_T,0.7429906542056075,0.7916666666666666,0.7854077253218884,0.8333333333333334,0.375,0.8461538461538461,0.9285714285714286,0.5,0.0,0.0,1.0,0.6470588235294118,0.3333333333333333,0.6666666666666666,1.0,0.8,0.5757575757575758
H_DCA1* < P_T,0.7429906542056075,0.7916666666666666,0.7854077253218884,0.8333333333333334,0.375,0.8461538461538461,0.9285714285714286,0.5,0.0,0.0,1.0,0.6470588235294118,0.3333333333333333,0.6666666666666666,1.0,0.8,0.5757575757575758
LS 수익률(%),9.949259345794397,16.96984027777778,19.311424892703858,3.617666666666667,-0.14612500000000006,10.851846153846155,8.076464285714286,5.814,-1.884,-0.103,12.621500000000001,-4.796227941176469,-4.720833333333332,-2.737666666666667,5.032173913043478,5.1770000000000005,-7.650242424242425
BH 수익률(%),6.071240654205607,9.870107638888891,11.260875536480688,2.0046666666666666,0.23449999999999993,6.270692307692307,4.4065714285714295,3.2714999999999996,-0.765,0.113,6.869,-1.8910735294117647,-2.055833333333333,-1.1583333333333332,2.774304347826087,2.8863999999999996,-3.2284545454545457
DCA1 수익률(%),5.696670560747665,7.711090277777783,8.391206008583694,1.6331666666666667,-2.5012499999999998,7.144846153846154,6.534678571428571,5.898499999999999,-3.082,-0.114,13.395,1.4249044117647063,-1.8911666666666669,-0.6683333333333333,9.086086956521738,9.6002,-0.503454545454545
DCA1* 수익률(%),11.08947196261682,15.009263888888878,16.333502145922747,3.1779999999999995,-4.8661249999999985,13.906692307692307,12.715571428571426,11.47775,-5.997,-0.222,26.065,2.7773161764705887,-3.6794999999999995,-1.3003333333333333,17.680782608695647,18.681999999999995,-0.9734848484848504
LS 표준편차(%),19.455951753696972,19.03491471473925,19.955931966691146,1.5698245337191878,8.099287066288172,15.72621069979539,5.32398701533146,8.684925369090207,,,6.271330042343491,10.031700110680191,5.8409303168816065,3.5378892483136513,4.242350331127287,6.535246208062861,9.733760231624428
BH 표준편차(%),11.325820061733081,11.674307274536247,12.312188120921448,0.8084154047682829,4.074897509666435,9.294472204708697,2.862212488275867,4.629118166562613,,,3.483208004124934,4.541122024235621,2.8241124918576928,1.697847558920804,2.223410758983156,3.513452760462277,4.26971436523193
DCA1 표준편차(%),11.273540788602885,11.610241912513402,12.252098832183181,2.322921386243337,7.1295858976120465,11.607035839281233,4.922966916730958,9.026846053116596,,,3.906057859274489,9.304174735532095,6.529587074744211,3.298036436022703,4.784166194219536,8.979895695385332,9.309976000399507
DCA1* 표준편차(%),21.941554708527732,22.60251383647469,23.85263838622117,4.520070087952178,13.872620716849841,22.59415047228159,9.57937398955412,17.56519297502877,,,7.601397897755386,18.09499392146376,12.705507416077488,6.417449986819792,9.30991223450733,17.4766960264233,18.10360941368708
