,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,440,289,234,12,43,151,16,11,124
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.2779880132475534,1.495189980439252,1.5618011428435163,0.9388487270293054,1.2879593534234781,0.8622835859733738,0.8764936423493138,1.1245599237241672,0.8371835809953595
H_DCA1,1.0893940693122144,1.2126546567933039,1.2520833038446342,1.0333716096180285,1.0481219394931167,0.8534847330073478,0.9347713638810844,0.9218363057371787,0.8369326895072834
H_DCA1*,1.0162960576176017,1.0783268583996672,1.105773316177847,1.1549821111024314,0.9075749013641552,0.8975748561208036,1.0083763506322063,0.7895249529930197,0.892862961138732
DCA1 > LS,0.3568181818181818,0.04152249134948097,0.0,0.25,0.20930232558139536,0.9602649006622517,0.8125,0.9090909090909091,0.9838709677419355
DCA1 > BH,0.4113636363636364,0.2837370242214533,0.21794871794871795,0.16666666666666666,0.6744186046511628,0.6556291390728477,0.25,1.0,0.6774193548387096
DCA1* > LS,0.4863636363636364,0.356401384083045,0.2948717948717949,0.25,0.7209302325581395,0.7350993377483444,0.3125,1.0,0.7661290322580645
DCA1* > BH,0.6204545454545455,0.6539792387543253,0.6324786324786325,0.25,0.8837209302325582,0.5562913907284768,0.125,1.0,0.5725806451612904
H_DCA1 < P_T,0.6863636363636364,0.7889273356401384,0.7905982905982906,0.25,0.9302325581395349,0.4900662251655629,0.125,1.0,0.49193548387096775
H_DCA1* < P_T,0.6863636363636364,0.7889273356401384,0.7905982905982906,0.25,0.9302325581395349,0.4900662251655629,0.125,1.0,0.49193548387096775
LS 수익률(%),10.585127272727267,20.20894809688579,22.76768376068374,-3.2273333333333327,12.825023255813953,-7.833973509933778,-6.5774375,5.908181818181817,-9.215169354838714
BH 수익률(%),6.314570454545452,11.31821799307958,12.734871794871793,-1.1919166666666665,7.100186046511627,-3.2619470198675495,-2.797812499999999,3.39,-3.9119274193548383
DCA1 수익률(%),5.926197727272722,9.009775086505192,9.49779487179487,-4.694916666666667,10.178604651162791,0.02451655629139139,-3.2676875,10.63618181818182,-0.4920403225806444
DCA1* 수익률(%),11.945640909090917,17.954920415224915,18.93669658119659,-8.835749999999999,20.088697674418597,0.44443708609271665,-6.145375,20.88436363636363,-0.5184838709677424
LS 표준편차(%),23.496045472964,22.43769482012462,23.419036437646273,5.068717595270629,12.396510929036928,11.36285907269646,6.29636101219056,5.650755928514022,11.445906627788881
BH 표준편차(%),12.726436069426247,12.61728981773325,13.23038066242855,2.483125759577792,6.695602356542951,5.272088898830744,3.039002012037285,2.923385332110702,5.259661974321174
DCA1 표준편차(%),13.571494812091224,13.481708948091256,13.85751351770454,6.069954312518391,10.722840075854847,11.691680526969769,5.7572773856948505,8.615988461206083,12.036386641029136
DCA1* 표준편차(%),26.733380602454293,26.812980247134554,27.59087964516965,11.453446294575587,21.382870747549845,22.550395112747257,10.988427299512276,17.27157158612225,23.17805095535793
LS 왜도,1.1769773993425545,1.3582098174818484,1.228104582835122,0.0405325878181901,1.230901610330439,-0.6741664314908598,0.30119455840689485,1.0068261118781754,-0.6930079487490728
LS 첨도,1.8940046618060502,1.4489596140651346,0.9191730675490075,-1.7224990544711618,0.9698434830649645,0.5805443034560485,-0.9017506070660901,-0.07900847876612982,0.38496879692428987
LS min,-40.229,-13.385,-13.385,-9.362,-1.683,-40.229,-15.431,-0.628,-40.229
LS 1Q,-1.91875,4.252,5.64825,-8.334,3.166,-14.435500000000001,-11.535499999999999,2.88,-15.774999999999999
LS median,5.067,12.764,16.566000000000003,-3.1155,9.661,-6.138,-7.5545,3.758,-7.388999999999999
LS 3Q,20.15225,30.013,31.75525,0.81325,18.9455,-0.2645,-0.85925,8.54,-0.90425
LS max,97.488,97.488,97.488,3.298,49.478,17.251,5.75,16.956,17.251
BH 왜도,1.471221143255398,1.5019206842929873,1.3571910524293107,0.06080485913881108,1.316504991245238,-0.4448866728976422,0.35423561948618976,1.0355946465763692,-0.4804636927459246
BH 첨도,2.5884261482226285,1.8748043585013732,1.2488660310198245,-1.7159788577593784,1.241141134781492,0.27847933521096735,-0.8378402353084553,-0.025001499132035754,0.12428618763983623
