,전체 시나리오,메인 시나리오,세부 시나리오,LS 수익률(%),BH 수익률(%),DCA1 수익률(%),DCA1* 수익률(%),P_0,P_T,H_DCA1,H_DCA1*
0,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,15.728,8.494,7.447,14.454,1,1.3392988430168575,1.1600754513247713,1.02238
1,상상상하하하하하하하하하하하상하하하하하하하하하,약,약약,-14.789,-6.7,-7.056,-13.392,1,0.72608619512111,0.8405075323381003,0.968
2,상하하하하하하하하하하하하하하하하하하상하하하하,약,약약,-0.391,0.177,6.597,12.788,1,0.9921980293741839,0.8731948510186951,0.77996
3,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,24.867,13.448,14.92,29.242,1,1.5591866957562546,1.1806204152566036,0.93346
4,상하하하하하하하하하하하하상상상상상상상상상상상,강,약강,24.467,13.227,21.147,41.758,1,1.54919692948558,1.0555608889924217,0.77093
5,상상상하하하하하하하하하하하하하하하하하하하하하,약,약약,-2.261,-0.748,8.174,15.881,1,0.9552842194440418,0.8163679240733458,0.71139
6,상상하상상상상상상상상상상상상상상상상상상상상상,강,강강,65.861,37.22,31.974,63.886,1,2.750999754435552,1.5794893468776818,1.02425
7,상하상하하상상상상상상상상상상상상상상상상상상상,강,강강,24.781,13.4,5.556,10.754,1,1.5570392875277768,1.397454522756216,1.26934
8,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-10.678,-4.797,-2.043,-3.909,1,0.7978369071721149,0.8314561073486642,0.86407
9,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,14.454,7.816,3.654,7.053,1,1.3099753146758606,1.2192536007719548,1.14304
10,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-8.089,-3.573,1.952,3.759,1,0.844759894011326,0.8127170349280566,0.78465
11,상상상상상상하상상상상상하하하상상하상상상하하하,강,강약,-9.996,-4.476,-10.765,-20.299,1,0.8100728579702596,1.0173056483267888,1.27525
12,상하하하하상하하상상상상상상하상상상상상상상상상,강,강강,15.218,8.222,12.829,25.078,1,1.3275164473774859,1.0427882784410403,0.84855
13,상하상상상상상하하하하하하하상상상하상하하하하하,약,약약,-10.568,-4.745,-8.33,-15.777,1,0.7998136914810848,0.9517808991558532,1.12753
14,상하상상상상상상상상상상상상상상상상상상상하하상,강,강강,-7.005,-3.054,-13.734,-25.753,1,0.8648155068264985,1.1621071663298188,1.5688
15,상상상상상상상상상상상상상상상상상상상상상상상상,강,강강,24.317,13.145,6.275,12.159,1,1.5454686215440054,1.368352041093013,1.22854
16,상상상하하하상상상하상상하하상하하하하하하하하하,약,강약,-9.967,-4.463,-8.724,-16.512,1,0.8105923849123474,0.9729567280599978,1.16293
17,상상하상상상상상상상상상상상상상상상상상상상상상,강,강강,23.007,12.427,10.501,20.465,1,1.5130775176132423,1.2391650840714605,1.04265
18,상상하상상상상상상상상상상상상상상상상상하하하하,강,강강,-2.734,-0.981,-6.36,-12.087,1,0.9460673523408102,1.078947567669129,1.22409
19,상상하하하하하하하하하하하하하하하하하하하하하하,약,약약,-36.169,-15.669,-22.85,-42.021,1,0.40744113443608043,0.6845379682222039,1.21206
20,상하하하하상상상상상상상상상상상상상상상상상상상,강,강강,32.5,17.697,19.607,38.648,1,1.7556251630513116,1.2272040401420627,0.91328
21,상하하상하하하상상상상상상상상상상상상상상상상상,강,강강,0.313,0.528,-5.578,-10.614,1,1.006277209956521,1.128678541459448,1.25945
22,상상하하하하하하하하상하하하하하하하하하하하하하,약,약약,-3.05,-1.136,2.447,4.715,1,0.9399308172974551,0.8955718736678647,0.85719
23,상하하하하하하하하하하하하하하하하하하하하하하하,약,약약,-45.814,-19.114,-26.755,-48.73,1,0.2936105784139821,0.5472893309791749,1.11699
24,상상상상상상상하상하상하상하하하하상상하하하상하,강,강약,-9.51,-4.247,-9.581,-18.106,1,0.818852740284706,1.001592243523286,1.22097
25,상하상상상상상상상상상상상상상상상상상상상상상상,강,강강,51.57,28.69,30.035,59.893,1,2.2973343602902454,1.3586339526939495,0.8986
