,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,10000,6913,5676,374,863,3087,498,404,2185
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.4166080698778611,1.6587589802047338,1.7339261413617184,0.9269760355611311,1.4815145011428932,0.8743375019835911,0.8274582395390875,1.257207453462948,0.8142305968575952
H_DCA1,1.139402441355852,1.2732935425717158,1.3209789311680042,1.0132537691166303,1.0723579801147853,0.8395679150502794,0.9122899528342446,0.9553015389206057,0.8015944785010649
H_DCA1*,1.019744309,1.085985071604223,1.1154195155038766,1.1758280481283427,0.8534576361529544,0.8714053417557479,1.058468634538154,0.7914096782178219,0.8435612814645301
DCA1 > LS,0.3284,0.03992477940112831,0.005285412262156448,0.35294117647058826,0.1320973348783314,0.974408811143505,0.9718875502008032,0.8465346534653465,0.9986270022883296
DCA1 > BH,0.4508,0.3369014899464777,0.26233262861169837,0.2807486631016043,0.8516801853997682,0.7058632977000324,0.39357429718875503,0.8737623762376238,0.7459954233409611
DCA1* > LS,0.518,0.40995226385071604,0.3488372093023256,0.2887700534759358,0.8644264194669756,0.7599611273080661,0.4357429718875502,0.8811881188118812,0.811441647597254
DCA1* > BH,0.6413,0.6756834948647475,0.6645525017618041,0.30213903743315507,0.9107763615295481,0.5643019112406867,0.30522088353413657,0.8613861386138614,0.5684210526315789
H_DCA1 < P_T,0.6951,0.7903949081440764,0.8012684989429175,0.3155080213903743,0.9246813441483198,0.4816974408811143,0.25100401606425704,0.8539603960396039,0.4654462242562929
H_DCA1* < P_T,0.6951,0.7903949081440764,0.8012684989429175,0.3155080213903743,0.9246813441483198,0.4816974408811143,0.25100401606425704,0.8539603960396039,0.4654462242562929
LS 수익률(%),9.762886899999952,16.565818168667715,18.38192952783648,-3.0158609625668467,13.107301274623403,-5.471536119209597,-6.64190963855422,7.30767326732673,-7.567625171624717
BH 수익률(%),5.839950999999995,9.432428178793563,10.456668428470739,-1.181042780748663,7.295522595596768,-2.2050100421120775,-2.8961726907630534,4.080618811881189,-3.209675972540037
DCA1 수익률(%),5.3909507999999775,7.664200781136951,7.9679933051444465,-3.4291470588235295,10.473685979142527,0.3002552640103653,-3.724628514056222,8.998267326732678,-0.39063935926773447
DCA1* 수익률(%),10.491854900000035,14.915359612324625,15.506424594785086,-6.670112299465242,20.382429895712605,0.5858982831227723,-7.2456124497992,17.510641089108923,-0.7584970251716253
LS 표준편차(%),16.73189281726468,14.439460366258691,14.318345978011758,7.147483211928455,9.998363015646861,10.210944352296275,7.020084844015097,8.147094130814715,9.431069120200908
BH 표준편차(%),9.219449962148456,8.417100247345893,8.454202747688736,3.417058434778422,5.6693533060404295,4.802844636291371,3.2464722414312255,4.394863440798595,4.266675360635419
DCA1 표준편차(%),9.742123574342148,9.468970626366497,9.287345047461942,6.79719882237254,8.318587553975492,8.318259195861277,6.306790952079317,8.158699613142447,7.633482767398622
DCA1* 표준편차(%),18.958180937993326,18.428005242060003,18.07498671043305,13.221897774302711,16.190597032278056,16.184299609567795,12.268901802075826,15.877916682333092,14.851098871730263
LS 왜도,0.4312680762896748,0.667846148412277,0.7127306349600099,-0.2024346807300543,0.623716586773059,0.10165391058080867,-0.0019250819050912044,0.46886381762424606,-0.16813976192932908
LS 첨도,0.3571420658647595,0.7581571388592612,0.7158015508072819,-0.04461982631303085,0.5960118334520765,0.41260892494017876,0.027448757580316396,0.34160949160904064,0.1712473167827171
LS min,-44.245,-30.65,-17.009,-30.65,-12.354000000000001,-44.245,-25.624000000000002,-10.520999999999999,-44.245
LS 1Q,-1.9747500000000002,6.367999999999999,8.186250000000001,-8.1695,5.805999999999999,-12.155999999999999,-11.1205,1.414,-13.88
LS median,8.638,14.866,16.5765,-2.6965,12.002,-5.575,-6.387499999999999,6.406,-7.0920000000000005
LS 3Q,20.108,25.003,26.945500000000003,2.068,19.039499999999997,0.857,-2.30625,12.509750000000002,-1.212
LS max,92.52799999999999,92.52799999999999,92.52799999999999,16.335,56.809,40.258,13.924000000000001,40.258,21.639
BH 왜도,0.8166350911480798,0.9586469506491969,0.973550520196312,0.01932502210668749,0.8431086178151204,0.5106786691437439,0.24883692822666376,0.6722814573231242,0.1967823805306816
BH 첨도,1.0413528844527469,1.468670784287763,1.4061652537485627,-0.2668662205255048,1.0643226063432136,0.715681372513306,0.11331795927858757,0.800761734444178,0.034853264928346395
BH min,-16.052,-12.422,-7.527,-12.422,-5.587000000000001,-16.052,-10.761,-4.787,-16.052
BH 1Q,-0.80975,3.437,4.40575,-3.73275,3.1405000000000003,-5.501,-5.0504999999999995,0.8740000000000001,-6.237
BH median,4.648,8.086,9.058,-1.1605,6.485,-2.5340000000000003,-2.9135,3.4565,-3.239
BH 3Q,11.09825,14.001,15.17475,1.2057499999999999,10.4765,0.5934999999999999,-0.9710000000000001,6.766749999999999,-0.435
BH max,59.703,59.703,59.703,8.92,34.494,23.52,7.556,23.52,11.998
DCA1 왜도,0.36425551054643024,0.3476921984971177,0.4233666569936667,0.0652335582076832,0.4527005364488289,0.3874924781135905,0.21088043303619944,0.2202563020155467,0.18905822178996268
DCA1 첨도,0.1644009016209984,0.1957364215453019,0.19281600374242158,-0.29211507414057936,0.543284038464587,0.26635807143499024,-0.048882647752589214,-0.11819970753780495,0.12585641986481733
DCA1 min,-25.219,-24.611,-16.665,-24.611,-12.6,-25.219,-20.031,-8.276,-25.219
DCA1 1Q,-1.3945,0.996,1.28875,-8.190750000000001,4.6865000000000006,-5.490500000000001,-8.10175,3.50675,-5.6129999999999995
DCA1 median,4.836,7.028,7.239,-3.5705,9.897,-0.35700000000000004,-3.7585000000000006,8.7395,-0.615
DCA1 3Q,11.59575,13.616,13.804,1.6847499999999997,15.2645,5.509499999999999,0.0005000000000000004,14.76775,4.596
DCA1 max,47.571000000000005,47.571000000000005,47.571000000000005,15.169,42.075,36.882,14.780999999999999,36.882,28.932
DCA1* 왜도,0.36536814378530247,0.3487689221645079,0.4243529997658354,0.06698354971357681,0.45387412692888096,0.3886406550800015,0.21212110761606426,0.2209153743080869,0.1902992979226624
DCA1* 첨도,0.1659747846669184,0.1977447808709769,0.19529131096397379,-0.2953117348013192,0.5464517872239067,0.26643873919993943,-0.04982952520147865,-0.11651642834961384,0.12458143785229714
DCA1* min,-48.915,-47.748999999999995,-32.403,-47.748999999999995,-24.51,-48.915,-38.923,-16.102,-48.915
DCA1* 1Q,-2.713,1.9380000000000002,2.5077499999999997,-15.937000000000001,9.119499999999999,-10.683,-15.763499999999999,6.824000000000001,-10.921
DCA1* median,9.4095,13.677,14.087,-6.948500000000001,19.259,-0.6940000000000001,-7.3134999999999994,17.006,-1.197
DCA1* 3Q,22.56425,26.495,26.860999999999997,3.27825,29.703000000000003,10.721,0.0010000000000000009,28.73675,8.943999999999999
DCA1* max,92.68299999999999,92.68299999999999,92.68299999999999,29.518,81.946,71.813,28.761999999999997,71.813,56.31399999999999
