,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,655,521,44,90,345,55,43,247
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.2728996800609502,1.4834723547505282,1.5477325529683852,0.9372670922634074,1.3785108911719752,0.8731167759401625,0.842366227348748,1.1616158584809837,0.829739527451387
H_DCA1,1.094201965910183,1.206716911946917,1.2481227297919313,1.0215634242713965,1.0575427159521413,0.880586633579569,0.9445046925855876,0.9659140320044648,0.8514993000670125
H_DCA1*,1.0128739699999982,1.0582612977099233,1.0820251631477924,1.1452497727272728,0.8781672222222221,0.9267038260869568,1.0969876363636364,0.8460748837209301,0.9028229959514171
DCA1 > LS,0.365,0.05648854961832061,0.007677543186180422,0.29545454545454547,0.2222222222222222,0.9507246376811594,0.8545454545454545,0.813953488372093,0.9959514170040485
DCA1 > BH,0.445,0.34961832061068704,0.2821497120921305,0.20454545454545456,0.8111111111111111,0.6260869565217392,0.21818181818181817,0.8837209302325582,0.6720647773279352
DCA1* > LS,0.506,0.40458015267175573,0.3474088291746641,0.22727272727272727,0.8222222222222222,0.6985507246376812,0.2909090909090909,0.8837209302325582,0.757085020242915
DCA1* > BH,0.617,0.6732824427480916,0.6756238003838771,0.22727272727272727,0.8777777777777778,0.5101449275362319,0.18181818181818182,0.8837209302325582,0.5182186234817814
H_DCA1 < P_T,0.674,0.8,0.8272552783109405,0.22727272727272727,0.9222222222222223,0.43478260869565216,0.16363636363636364,0.8837209302325582,0.41700404858299595
H_DCA1* < P_T,0.674,0.8,0.8272552783109405,0.22727272727272727,0.9222222222222223,0.43478260869565216,0.16363636363636364,0.8837209302325582,0.41700404858299595
LS 수익률(%),10.847570999999999,20.369812213740456,23.077827255278297,-3.516022727272727,16.37093333333333,-7.230886956521737,-8.716618181818182,7.48567441860465,-9.462048582995953
BH 수익률(%),6.366410000000002,11.294174045801523,12.742525911708249,-1.2829772727272724,9.058655555555552,-2.9892000000000016,-3.7432363636363646,4.238604651162792,-4.079578947368424
DCA1 수익률(%),5.824866,9.480372519083968,10.06367370441458,-4.513272727272728,12.945044444444449,-1.1152985507246378,-6.108727272727273,9.495953488372091,-1.8507044534412953
DCA1* 수익률(%),11.661870000000006,18.789609160305357,19.908101727447228,-8.405977272727272,25.610400000000002,-1.8705043478260868,-11.383127272727274,18.681627906976743,-3.3302105263157915
LS 표준편차(%),21.029870754974446,18.61072060359759,18.160534756213558,8.061339208635298,15.673077497501781,11.199438898760416,9.627760268928572,8.03109670421327,10.034255066799803
BH 표준편차(%),11.191806655769215,10.27506509694319,10.120791211459796,4.011519334561966,8.604107097627313,5.386705065509962,4.6155300364282885,4.151487565517272,4.74391754177201
DCA1 표준편차(%),12.202741857914345,11.868502567354168,11.361828330027645,8.078888313933193,11.763395099530808,9.533426535130202,8.502571581487361,9.110015477362548,8.441237606595157
DCA1* 표준편차(%),23.977271747042682,23.526298632368135,22.55681746235528,15.465806353445076,23.638814124422336,18.355271137937994,16.150336691886007,17.95055362858026,16.206835796438934
LS 왜도,0.6875011510793633,0.8546987444388839,0.9085683009458101,0.9908407987734063,1.2423197180299732,0.2601530270432931,0.4949565209692817,0.20571192533008364,0.1302223387884754
LS 첨도,0.6072848485909326,0.9511114124515916,1.035446283439558,2.022622563054194,1.9516054071139406,0.034141744238145755,1.2121102126571786,-0.36114126157853743,0.1858860603095569
LS min,-36.861,-16.054,-15.968,-16.054,-9.147,-36.861,-25.966,-8.68,-36.861
LS 1Q,-4.136,6.827500000000001,9.659,-8.31325,4.48675,-15.033,-13.767,2.631,-16.380499999999998
LS median,8.017,16.945,19.758,-3.7515,11.895,-7.257,-8.317,5.95,-9.081
LS 3Q,24.045250000000003,31.1315,32.365,0.03900000000000001,26.180999999999997,-0.48,-2.9234999999999998,13.410499999999999,-3.065
LS max,92.945,92.945,92.945,24.203,80.149,25.016,20.872,25.016,24.545
BH 왜도,0.9248153054886831,1.035276926944949,1.0750438367517923,1.159117078331733,1.401792755142906,0.44621899114683833,0.725797332673031,0.2856672768468736,0.32417201077763863
BH 첨도,1.160732803399275,1.4401239863519515,1.4960394227977143,2.6104250994731566,2.7033617039928375,0.2043785257231696,1.7690099878638574,-0.3315396556053094,0.3859560909674249
BH min,-15.93,-7.275,-7.236,-7.275,-4.075,-15.93,-11.598,-3.854,-15.93
BH 1Q,-1.6669999999999998,3.8295,5.295,-3.678,2.63125,-6.811,-6.2315000000000005,1.692,-7.423
BH median,4.4425,9.145,10.659,-1.479,6.4645,-3.175,-3.681,3.379,-4.044
BH 3Q,12.995999999999999,16.928,17.621,0.39125,14.1725,0.133,-1.0739999999999998,7.2635000000000005,-1.1435
BH max,53.91,53.91,53.91,13.082,45.95,13.53,11.263,13.53,13.27
DCA1 왜도,0.6212758505635608,0.6098569643095171,0.6300507701790506,1.1210558598994593,1.0651353207531835,0.623509979574094,0.9065413875580423,0.10453609149616024,0.6429665221882715
DCA1 첨도,0.6911796395637841,0.8182342864135181,0.8066839758971751,2.1267455095093433,1.7871557887866159,0.6515851989021173,2.139004733754701,-0.38807602157967125,1.3636376615366443
DCA1 min,-22.54,-22.54,-22.54,-17.186,-9.468,-21.109,-21.109,-8.977,-18.638
DCA1 1Q,-2.2327500000000002,1.3625,1.905,-9.719750000000001,3.886,-7.707,-11.457999999999998,3.6975,-7.4125
DCA1 median,4.079,7.96,8.879,-5.6475,10.7455,-1.661,-6.283,8.263,-2.228
DCA1 3Q,13.229000000000001,16.764,17.009,-0.92525,20.271250000000002,3.787,-0.886,15.2575,3.0709999999999997
DCA1 max,60.083,60.083,51.482,23.543,60.083,33.678,23.109,29.122,33.678
DCA1* 왜도,0.7253092158998676,0.7104858195143815,0.724579402954303,1.2185604303438209,1.155884657441767,0.7181017725306378,1.0356358833880144,0.15789012393320065,0.7514412048341645
DCA1* 첨도,0.9253901082303164,1.0290058131582946,0.9846165897160062,2.4787246688317555,2.1561568438630037,0.8312758956557729,2.507242933433725,-0.3946007719422058,1.6687981937708325
DCA1* min,-41.479,-41.479,-41.479,-32.003,-17.896,-38.974,-38.974,-16.983,-34.6
DCA1* 1Q,-4.27275,2.6215,3.667,-18.36325,7.5045,-14.613,-21.578,7.1385000000000005,-14.061499999999999
DCA1* median,7.8795,15.459,17.266,-10.745000000000001,20.9485,-3.181,-11.941,16.055,-4.264
DCA1* 3Q,25.8735,32.9315,33.422,-1.7747499999999998,39.989000000000004,7.313,-1.6989999999999998,29.9185,5.9239999999999995
DCA1* max,123.141,123.141,104.765,46.617,123.141,67.409,45.735,58.016,67.409
