,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,691,563,35,93,309,44,42,223
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.3890623526818813,1.6164457478950829,1.687099587017401,0.9477447470087037,1.4403857866602288,0.8805771549720962,0.8459167773296495,1.2360026117525735,0.8204748564585878
H_DCA1,1.1351490492345353,1.262889446444188,1.306057942431616,1.0376056868201977,1.0863417942497622,0.8494901027236315,0.9428171113187851,0.9584872477851838,0.8105471947829499
H_DCA1*,1.0212909800000014,1.0834468306801743,1.1103631083481347,1.205760857142857,0.8744698924731182,0.882295210355987,1.0858381818181817,0.8010595238095235,0.8574342600896857
H_DCA2,1.0894647035669538,1.21334681890374,1.2551172801189767,0.9910859897439748,1.0441248764995863,0.8124338242863095,0.900598389996788,0.9195674454933576,0.7748604925286543
DCA1 > LS,0.311,0.03183791606367583,0.0,0.2571428571428571,0.13978494623655913,0.9352750809061489,0.8181818181818182,0.7619047619047619,0.9910313901345291
DCA1 > BH,0.443,0.341534008683068,0.2557726465364121,0.2857142857142857,0.8817204301075269,0.6699029126213593,0.2727272727272727,0.8095238095238095,0.7219730941704036
DCA2 > LS,0.379,0.10130246020260492,0.03374777975133215,0.6,0.3225806451612903,1.0,1.0,1.0,1.0
DCA2 > BH,0.572,0.47756874095513746,0.4103019538188277,0.37142857142857144,0.9247311827956989,0.7831715210355987,0.5,0.9047619047619048,0.8161434977578476
DCA1* > LS,0.505,0.4109985528219971,0.3410301953818828,0.2857142857142857,0.8817204301075269,0.7152103559870551,0.2727272727272727,0.8333333333333334,0.7802690582959642
DCA1* > BH,0.633,0.6816208393632417,0.6642984014209592,0.2857142857142857,0.9354838709677419,0.5242718446601942,0.22727272727272727,0.8095238095238095,0.5291479820627802
H_DCA1 < P_T,0.693,0.7930535455861071,0.7975133214920072,0.3142857142857143,0.946236559139785,0.4692556634304207,0.1590909090909091,0.8095238095238095,0.4663677130044843
H_DCA1* < P_T,0.693,0.7930535455861071,0.7975133214920072,0.3142857142857143,0.946236559139785,0.4692556634304207,0.1590909090909091,0.8095238095238095,0.4663677130044843
H_DCA2 < P_T,0.752,0.8480463096960926,0.8561278863232682,0.4,0.967741935483871,0.5372168284789643,0.2727272727272727,0.8809523809523809,0.5246636771300448
LS 수익률(%),9.345756999999985,15.85434298118665,17.558289520426253,-2.2754000000000003,12.362075268817199,-5.209042071197409,-5.7731818181818175,6.82247619047619,-7.363757847533629
BH 수익률(%),5.553093999999997,8.970266280752528,9.935873889875664,-0.8275714285714285,6.812064516129031,-2.0885436893203906,-2.5317272727272724,3.793333333333333,-3.108896860986548
DCA1 수익률(%),5.083611000000006,7.269623733719249,7.600955595026642,-3.4434,9.29560215053764,0.19514886731391576,-3.8751363636363645,8.39954761904762,-0.5469686098654711
DCA1* 수익률(%),9.89346199999999,14.147114327062226,14.791847246891647,-6.697857142857141,18.08893548387097,0.38124919093851156,-7.538818181818184,16.345214285714285,-1.062713004484305
DCA2 수익률(%),6.546521999999996,8.71451374819102,9.041545293072824,-1.9574857142857143,10.751086021505374,1.6983592233009712,-2.394340909090909,9.905785714285717,0.9600941704035874
LS 표준편차(%),15.684723037105304,13.17010788109136,13.188810980041914,7.13653881835462,8.021854568772355,10.089158273305493,5.884528426593133,7.337382371145373,9.615628515698226
BH 표준편차(%),8.541154972919967,7.601387069934193,7.694076614067644,3.450617261794614,4.516093826783735,4.731984130767114,2.6241744071686433,3.949407221137621,4.384221525106405
DCA1 표준편차(%),9.208211926023077,8.778780588637353,8.821238769203088,6.872737570840826,6.059661660342218,8.226484212028463,5.168261218967569,7.536857843704742,7.852091875629991
DCA1* 표준편차(%),17.91869836242465,17.084157216978717,17.167313235343418,13.369885839503064,11.792510287767264,16.006067225239025,10.052815665443323,14.66698523320353,15.27727757420885
