,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,1000,626,494,42,90,374,48,50,276
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.2331343124447738,1.4494151682944445,1.5097496944641222,0.9254695749138943,1.3627536015629167,0.871124109872873,0.8123123237480535,1.1766643190033723,0.8260007594289099
H_DCA1,1.075371981075592,1.2002756074608907,1.2411631785703645,1.019389803883562,1.0602616477071884,0.8663086919921759,0.9270854037951329,0.9642540724538071,0.8379951007254246
H_DCA1*,1.0117412300000002,1.0730420287539935,1.100048218623482,1.1625119047619048,0.8830554444444446,0.9091361497326201,1.096844375,0.8259294000000003,0.8915649275362323
DCA1 > LS,0.383,0.04153354632587859,0.004048582995951417,0.2857142857142857,0.13333333333333333,0.9545454545454546,0.9166666666666666,0.76,0.9963768115942029
DCA1 > BH,0.471,0.3514376996805112,0.2692307692307692,0.21428571428571427,0.8666666666666667,0.6711229946524064,0.22916666666666666,0.92,0.7028985507246377
DCA1* > LS,0.518,0.3929712460063898,0.31781376518218624,0.21428571428571427,0.8888888888888888,0.7272727272727273,0.3333333333333333,0.92,0.7608695652173914
DCA1* > BH,0.6,0.646964856230032,0.6295546558704453,0.2619047619047619,0.9222222222222223,0.5213903743315508,0.16666666666666666,0.92,0.5108695652173914
H_DCA1 < P_T,0.664,0.8019169329073482,0.819838056680162,0.2619047619047619,0.9555555555555556,0.43315508021390375,0.125,0.92,0.39855072463768115
H_DCA1* < P_T,0.664,0.8019169329073482,0.819838056680162,0.2619047619047619,0.9555555555555556,0.43315508021390375,0.125,0.92,0.39855072463768115
LS 수익률(%),9.095255999999988,19.046274760383387,21.569578947368417,-4.154999999999999,16.0234,-7.560727272727269,-10.318666666666667,8.26156,-9.947442028985504
BH 수익률(%),5.459919999999997,10.563749201277957,11.91628947368421,-1.580690476190476,8.807211111111114,-3.08285294117647,-4.506979166666667,4.6203199999999995,-4.230681159420288
DCA1 수익률(%),5.148682000000011,8.63527955271566,9.081886639676114,-5.081880952380953,12.58524444444445,-0.6871737967914441,-6.922270833333332,10.342199999999998,-1.600884057971015
DCA1* 수익률(%),10.366683999999996,17.154968051118203,18.019836032388675,-9.470309523809526,24.832933333333333,-0.9955240641711227,-12.934,20.27946,-2.7734311594202903
LS 표준편차(%),20.73638785299051,17.96242288667055,17.85992259309317,8.372457694945883,12.96039968155373,12.910122793660964,9.060961433495386,6.857472081858546,12.292032668073688
