,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,457,295,241,21,33,162,24,23,115
P_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P_T,1.2747623354388806,1.4806792846348165,1.5513359723279923,0.9013623459606066,1.3333275870015786,0.8997901131376399,0.77358375942509,1.4024232213438736,0.825602208792925
H_DCA1,1.0910696777067272,1.2096936463353918,1.2492790418237365,1.0044812959053735,1.0511899810729435,0.8750568953273683,0.9191624159814368,0.983094950973634,0.8442446538007443
H_DCA1*,1.0154348796498904,1.0732851864406776,1.0937373443983402,1.1457890476190478,0.8777836363636364,0.9100901851851846,1.1283075,0.7735434782608693,0.8918585217391304
H_DCA2,1.061665423734374,1.1779523438550359,1.2167523291050433,0.9751225860050825,1.0236683580852468,0.8499083778356377,0.8916886702073946,0.9571435983855147,0.8197419683611217
DCA1 > LS,0.3588621444201313,0.05084745762711865,0.004149377593360996,0.3333333333333333,0.21212121212121213,0.9197530864197531,0.875,0.6521739130434783,0.9826086956521739
DCA1 > BH,0.47702407002188185,0.36271186440677966,0.2987551867219917,0.19047619047619047,0.9393939393939394,0.6851851851851852,0.16666666666666666,0.9565217391304348,0.7391304347826086
DCA2 > LS,0.4310722100656455,0.13220338983050847,0.04979253112033195,0.7142857142857143,0.36363636363636365,0.9753086419753086,1.0,0.8260869565217391,1.0
DCA2 > BH,0.5536105032822757,0.43389830508474575,0.37344398340248963,0.23809523809523808,1.0,0.7716049382716049,0.3333333333333333,1.0,0.8173913043478261
DCA1* > LS,0.5207877461706784,0.4,0.34439834024896265,0.19047619047619047,0.9393939393939394,0.7407407407407407,0.2916666666666667,0.9565217391304348,0.7913043478260869
DCA1* > BH,0.6170678336980306,0.6677966101694915,0.6680497925311203,0.19047619047619047,0.9696969696969697,0.5246913580246914,0.041666666666666664,0.9565217391304348,0.5391304347826087
H_DCA1 < P_T,0.6608315098468271,0.7864406779661017,0.8132780082987552,0.19047619047619047,0.9696969696969697,0.43209876543209874,0.041666666666666664,0.9565217391304348,0.40869565217391307
H_DCA1* < P_T,0.6608315098468271,0.7864406779661017,0.8132780082987552,0.19047619047619047,0.9696969696969697,0.43209876543209874,0.041666666666666664,0.9565217391304348,0.40869565217391307
H_DCA2 < P_T,0.7067833698030634,0.8101694915254237,0.8423236514522822,0.19047619047619047,0.9696969696969697,0.5185185185185185,0.16666666666666666,0.9565217391304348,0.5043478260869565
LS 수익률(%),10.66850765864332,19.955508474576266,22.864120331950186,-5.366380952380952,14.827757575757577,-6.243006172839502,-12.539166666666668,17.348521739130437,-9.647330434782607
BH 수익률(%),6.3227024070021915,11.125145762711881,12.691526970954369,-2.183,8.154636363636362,-2.422487654320988,-5.532249999999999,9.590043478260869,-4.176000000000001
DCA1 수익률(%),5.8465929978118165,8.942894915254241,9.809240663900415,-5.584666666666667,11.860757575757575,0.2082654320987654,-8.833333333333334,18.38608695652174,-1.5403565217391306
DCA1* 수익률(%),11.760547045951862,17.7738779661017,19.473307053941912,-10.466095238095239,23.33378787878788,0.8103456790123458,-16.52341666666667,36.670391304347824,-2.744182608695652
DCA2 수익률(%),7.31101969365426,10.404416949152527,11.270991701244803,-4.174714285714285,13.353424242424243,1.6779814814814813,-7.438541666666667,19.973130434782608,-0.07846956521739132
LS 표준편차(%),22.38736695956155,20.466511399929185,20.48159551885448,7.81076844795818,12.348194701125097,14.450437215116928,9.49731213997192,16.281305006522512,9.655384042732951
BH 표준편차(%),12.0021683298221,11.379015236424891,11.50176349016291,3.706636710010842,6.711578902436919,7.234670677827486,4.359174645154346,8.947249396923672,4.51505125187052
DCA1 표준편차(%),13.131788655067306,12.53540766627348,12.534562295582539,7.055408509316335,9.015584669858852,12.325301333190716,7.373784054022895,15.9052026219926,8.233628375839318
DCA1* 표준편차(%),25.868809091023184,24.825104768507412,24.898902156293122,13.246695961275632,18.05001670490497,24.14666020379995,13.672556819876581,32.45026282809815,15.718503250350325
DCA2 표준편차(%),13.222598776040787,12.626425686554336,12.630734380533765,7.124558148705484,9.076398070787437,12.433917311939622,7.442698207430156,16.049742856349464,8.325610888836401
LS 왜도,0.9264669944571865,1.1634148317305928,1.2120259547812973,-0.8708445174171118,1.2394169435677775,1.3107137090125078,-0.257257741905902,1.125153735331526,-0.20306934577422567
LS 첨도,1.5667821258268901,2.3158854075245117,2.294898175633798,1.015532124265469,1.4291535942606948,3.7082884121127364,-0.6734399100227462,0.4886567313340171,0.3559229349528814
LS min,-39.041,-27.305,-27.305,-25.828,-1.767,-39.041,-30.704,-2.772,-39.041
